iris_code,iris_name,iris_commune,arrondissement,iris_surface_m2,shops_count,food_stores_count,restaurants_count,loisir_count,pharmacies_count,colleges_count,schools_count,lycees_count,hospitals_count,green_spaces_count,sports_count,health_services,education_sites,sports_sites,local_life_sites,health_density,education_density,sport_density,vibrance_density,green_space_density,avg_noise_db
751114212,Saint-Ambroise 12,Paris 11e Arrondissement,11,59358.875000174245,54,7,15,3,0,2,1,1,0,0,4,0,4,4,25,0.0,67.38672186742518,67.38672186742518,421.1670116714074,0.0,41.28
751114213,Saint-Ambroise 13,Paris 11e Arrondissement,11,53741.13500016809,72,11,25,4,1,1,1,0,0,0,0,1,2,0,40,18.6077201383423,37.2154402766846,0.0,744.308805533692,0.0,41.28
751114214,Saint-Ambroise 14,Paris 11e Arrondissement,11,38906.680000443215,29,0,18,3,1,0,1,0,1,1,0,2,1,0,21,51.40505434997837,25.702527174989186,0.0,539.753070674773,25.702527174989186,41.28
751114202,Saint-Ambroise 2,Paris 11e Arrondissement,11,53566.94499944607,34,4,8,3,1,0,3,0,0,0,0,1,3,0,15,18.668229073178264,56.00468721953479,0.0,280.02343609767394,0.0,41.28
751114203,Saint-Ambroise 3,Paris 11e Arrondissement,11,55425.19499996949,54,7,18,5,0,0,0,0,0,0,4,0,0,4,30,0.0,0.0,72.16934464555699,541.2700848416773,0.0,41.28
751114204,Saint-Ambroise 4,Paris 11e Arrondissement,11,48962.23000031376,117,19,44,8,1,0,0,0,0,1,1,1,0,1,71,20.423906345638095,0.0,20.423906345638095,1450.0973505403047,20.423906345638095,41.28
751114205,Saint-Ambroise 5,Paris 11e Arrondissement,11,49991.93499994719,43,8,10,3,0,0,0,0,0,2,0,0,0,0,21,0.0,0.0,0.0,420.06775692963646,40.006453040917755,41.28
751114206,Saint-Ambroise 6,Paris 11e Arrondissement,11,94619.28000032318,83,7,20,7,1,0,0,0,1,4,2,2,0,2,34,21.137341142240448,0.0,21.137341142240448,359.3347994180876,42.274682284480896,41.28
751114207,Saint-Ambroise 7,Paris 11e Arrondissement,11,67732.11499958752,75,1,19,12,0,0,0,0,0,0,1,0,0,1,32,0.0,0.0,14.764045091550587,472.4494429296188,0.0,41.28
751114208,Saint-Ambroise 8,Paris 11e Arrondissement,11,59308.870000265,79,5,18,13,0,0,2,0,0,0,7,0,2,7,36,0.0,33.72176876732036,118.02619068562127,606.9918378117666,0.0,41.28
751114209,Saint-Ambroise 9,Paris 11e Arrondissement,11,77120.8850000677,87,7,28,3,1,0,1,0,0,0,0,1,1,0,38,12.966656178791544,12.966656178791544,0.0,492.73293479407863,0.0,41.28
751114401,Sainte-Marguerite 1,Paris 11e Arrondissement,11,70528.65999999561,68,3,17,3,1,0,2,0,0,0,0,1,2,0,23,14.178633196775074,28.357266393550148,0.0,326.1085635258267,0.0,41.28
751114410,Sainte-Marguerite 10,Paris 11e Arrondissement,11,99322.19500052951,42,8,12,2,0,0,0,0,0,0,1,0,0,1,22,0.0,0.0,10.068243054784167,221.50134720525168,0.0,41.28
751114411,Sainte-Marguerite 11,Paris 11e Arrondissement,11,116836.22000016137,81,9,14,4,0,0,1,2,0,2,3,0,3,3,27,0.0,25.676969008376485,25.676969008376485,231.09272107538837,17.117979338917657,41.28
751114412,Sainte-Marguerite 12,Paris 11e Arrondissement,11,53857.180000487264,74,12,18,9,0,0,0,0,0,1,0,0,0,0,39,0.0,0.0,0.0,724.137431622806,18.567626451866822,41.28
751114413,Sainte-Marguerite 13,Paris 11e Arrondissement,11,56191.139999807114,73,11,12,10,0,0,0,0,0,0,1,0,0,1,33,0.0,0.0,17.796399930726317,587.2811977139684,0.0,41.28
751114402,Sainte-Marguerite 2,Paris 11e Arrondissement,11,70312.14000048424,104,9,21,10,0,0,0,0,0,0,0,0,0,0,40,0.0,0.0,0.0,568.8918016109951,0.0,41.28
751114403,Sainte-Marguerite 3,Paris 11e Arrondissement,11,47586.88000000102,95,10,28,9,1,0,1,0,0,0,0,1,1,0,47,21.014195509350024,21.014195509350024,0.0,987.6671889394511,0.0,41.28
751114404,Sainte-Marguerite 4,Paris 11e Arrondissement,11,66905.15500008322,139,9,21,14,1,0,0,0,0,0,1,1,0,1,44,14.946531399542474,0.0,14.946531399542474,657.6473815798689,0.0,41.28
751114405,Sainte-Marguerite 5,Paris 11e Arrondissement,11,52906.32500034139,66,4,25,5,0,1,2,0,0,1,8,0,3,8,34,0.0,56.70399522137744,151.21065392367316,642.645279175611,18.901331740459145,41.28
751114406,Sainte-Marguerite 6,Paris 11e Arrondissement,11,83340.16500057865,124,16,31,13,2,0,0,0,0,2,10,2,0,10,60,23.99803264111744,0.0,119.99016320558721,719.9409792335233,23.99803264111744,41.28
751114407,Sainte-Marguerite 7,Paris 11e Arrondissement,11,47139.05500011852,67,13,15,5,1,0,1,0,0,2,0,1,1,0,33,21.213832139772123,21.213832139772123,0.0,700.0564606124801,42.427664279544246,41.28
751114408,Sainte-Marguerite 8,Paris 11e Arrondissement,11,83445.06500016076,80,13,23,4,1,2,3,1,0,0,1,1,6,1,40,11.983932183384043,71.90359310030426,11.983932183384043,479.3572873353618,0.0,41.28
751114409,Sainte-Marguerite 9,Paris 11e Arrondissement,11,77560.70499988072,93,13,22,13,1,0,3,1,0,1,3,1,4,3,48,12.893126745064244,51.572506980256975,38.67938023519273,618.8700837630837,12.893126745064244,41.28
751124888,Bassin de l'Arsenal,Paris 12e Arrondissement,12,42215.85999993581,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0.0,0.0,47.37555980153054,0.0,23.68777990076527,40.97
751124501,Bel-Air 1,Paris 12e Arrondissement,12,326429.18500113656,37,6,8,4,1,1,2,4,0,3,20,1,7,20,18,3.063451572188676,21.444161005320733,61.26903144377352,55.14212829939617,9.190354716566029,40.97
751124510,Bel-Air 10,Paris 12e Arrondissement,12,140322.9000004945,14,6,2,1,1,3,0,1,0,3,15,1,4,15,9,7.126420562833836,28.505682251335344,106.89630844250753,64.13778506550452,21.379261688501508,40.97
751124511,Bel-Air 11,Paris 12e Arrondissement,12,114625.75000017113,22,3,0,2,1,0,3,0,0,3,0,1,3,0,5,8.72404324506934,26.172129735208024,0.0,43.62021622534671,26.172129735208024,40.97
751124512,Bel-Air 12,Paris 12e Arrondissement,12,106829.15999955223,74,5,12,13,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0,0.0,280.82220247847823,0.0,40.97
751124513,Bel-Air 13,Paris 12e Arrondissement,12,65288.11500014879,78,27,10,5,2,0,1,0,0,2,7,2,1,7,42,30.633446837842417,15.316723418921208,107.21706393244845,643.3023835946907,30.633446837842417,40.97
751124514,Bel-Air 14,Paris 12e Arrondissement,12,63806.46000013758,91,18,14,9,2,0,1,0,0,0,0,2,1,0,41,31.34478859970742,15.67239429985371,0.0,642.5681662940021,0.0,40.97
751124502,Bel-Air 2,Paris 12e Arrondissement,12,114244.08500049118,72,8,21,6,1,0,0,0,0,1,0,1,0,0,35,8.7531884035458,0.0,0.0,306.361594124103,8.7531884035458,40.97
751124503,Bel-Air 3,Paris 12e Arrondissement,12,68226.72499991518,18,3,4,2,0,0,1,0,0,2,0,0,1,0,9,0.0,14.65701306931035,0.0,131.91311762379314,29.3140261386207,40.97
751124504,Bel-Air 4,Paris 12e Arrondissement,12,62577.27000012112,42,12,8,0,0,0,3,0,0,0,7,0,3,7,20,0.0,47.94072991669649,111.86170313895848,319.60486611130995,0.0,40.97
751124505,Bel-Air 5,Paris 12e Arrondissement,12,59535.50500053652,19,0,0,1,1,0,0,0,0,0,1,1,0,1,1,16.796699717101387,0.0,16.796699717101387,16.796699717101387,0.0,40.97
751124506,Bel-Air 6,Paris 12e Arrondissement,12,47992.3600003005,14,3,3,1,1,0,1,0,1,0,3,2,1,3,7,41.67329966660271,20.836649833301355,62.50994949990406,145.85654883310949,0.0,40.97
751124507,Bel-Air 7,Paris 12e Arrondissement,12,52552.719999787005,40,10,10,3,0,0,0,0,0,1,3,0,0,3,23,0.0,0.0,57.085532395129285,437.65574836265785,19.02851079837643,40.97
751124508,Bel-Air 8,Paris 12e Arrondissement,12,62593.220000042675,16,0,4,0,0,1,1,0,0,0,5,0,2,5,4,0.0,31.95234244217882,79.88085610544705,63.90468488435764,0.0,40.97
751124509,Bel-Air 9,Paris 12e Arrondissement,12,98825.54000060959,14,2,2,1,0,0,0,0,1,2,0,1,0,0,5,10.118841748740575,0.0,0.0,50.59420874370288,20.23768349748115,40.97
751124701,Bercy 1,Paris 12e Arrondissement,12,58249.570000019536,31,1,15,1,1,1,2,0,0,1,3,1,3,3,17,17.167508704350343,51.50252611305103,51.50252611305103,291.8476479739559,17.167508704350343,40.97
751124702,Bercy 2,Paris 12e Arrondissement,12,201989.5800008198,49,3,32,4,0,0,1,0,0,0,3,0,1,3,39,0.0,4.950750429779305,14.852251289337914,193.0792667613929,0.0,40.97
751124703,Bercy 3,Paris 12e Arrondissement,12,406945.7250007492,61,9,10,3,2,0,1,0,0,1,4,2,1,4,22,4.914660302663992,2.457330151331996,9.829320605327984,54.06126332930392,2.457330151331996,40.97
751124704,Bercy 4,Paris 12e Arrondissement,12,40088.3499999754,31,4,7,2,1,0,0,0,0,0,0,1,0,0,13,24.944902945634173,0.0,0.0,324.28373829324426,0.0,40.97
751124705,Bercy 5,Paris 12e Arrondissement,12,271440.0900005977,54,6,7,14,1,0,0,0,0,0,7,1,0,7,27,3.6840541866818493,0.0,25.788379306772946,99.46946304040993,0.0,40.97
