objectid,numero_uai,appellatio,denominati,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,appariemen,localisati,nature_uai,etat_eta_1,code_depar,code_acade,code_commu,libelle_de,libelle_ac,contrat,id,nom,x,y
71,0750808W,Lycée professionnel Etienne Dolet,LYCEE PROFESSIONNEL,ETIENNE DOLET,Public,7 RUE D'EUPATORIA, , ,75020,PARIS,Paris 20e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75120,Paris,Paris,Public,0750808W,Lycée professionnel Etienne Dolet,655012.800035,6863364.90453
72,0751710B,"Lycée Professionnel N.L Vauquelin - Lycée des métiers des procédés chimiques, des biotechnologies et de l'eau",LP LYCEE DES METIERS,NICOLAS LOUIS VAUQUELIN,Public,13 avenue BOUTROUX, , ,75013,PARIS,Paris 13e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75113,Paris,Paris,Public,0751710B,"Lycée Professionnel N.L Vauquelin - Lycée des métiers des procédés chimiques, des biotechnologies et de l'eau",654207.000036,6858215.90453
73,0752109K,Lycée professionnel Suzanne Valadon,LYCEE PROFESSIONNEL,SUZANNE VALADON,Public,7 RUE FERDINAND FLOCON, , ,75018,PARIS,Paris 18e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75118,Paris,Paris,Public,0752109K,Lycée professionnel Suzanne Valadon,652048.500038,6865962.40453
74,0752845K,Lycée professionnel Théophile Gautier,LYCEE PROFESSIONNEL,THEOPHILE GAUTIER,Public,49 rue DE CHARENTON, , ,75012,PARIS,Paris 12e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75112,Paris,Paris,Public,0752845K,Lycée professionnel Théophile Gautier,653956.600036,6861425.80453
75,0754401B,Lycée autogéré,ETABLISSEMENT EXPERIMENTAL,LYCEE AUTOGERE,Public,393  RUE DE VAUGIRARD, , ,75015,PARIS,Paris 15e  Arrondissement,Parfaite,Numéro de rue,315,OUVERT,75,01,75115,Paris,Paris,Public,0754401B,Lycée autogéré,648018.200041,6859653.80453
76,0754873P,Section d'enseignement professionnel du Lycée polyvalent François Truffaut,SECTION ENSEIGNT PROFESSIONNEL,LPO FRANCOIS TRUFFAUT,Public,28 rue DEBELLEYME, , ,75003,PARIS,Paris  3e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75103,Paris,Paris, ,0754873P,Section d'enseignement professionnel du Lycée polyvalent François Truffaut,653305.100037,6862622.80453
77,0754876T,Section d'enseignement professionnel du Lycée polyvalent Maximilien Vox,SECTION ENSEIGNT PROFESSIONNEL,LPO MAXIMILIEN VOX,Public,5  RUE MADAME, , ,75006,PARIS,Paris  6e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75106,Paris,Paris, ,0754876T,Section d'enseignement professionnel du Lycée polyvalent Maximilien Vox,650987.100038,6861522.10453
78,0754879W,Section d'enseignement professionnel du Lycée polyvalent Elisa Lemonnier,SECTION ENSEIGNT PROFESSIONNEL,LPO ELISA LEMONNIER,Public,20 avenue ARMAND ROUSSEAU, , ,75012,PARIS,Paris 12e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75112,Paris,Paris, ,0754879W,Section d'enseignement professionnel du Lycée polyvalent Elisa Lemonnier,656657.000034,6859781.30453
79,0754882Z,Section d'enseignement professionnel du Lycée polyvalent Jean Lurçat,SECTION ENSEIGNT PROFESSIONNEL,LPO JEAN LURCAT,Public,121 rue DE PATAY, , ,75013,PARIS,Paris 13e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75113,Paris,Paris, ,0754882Z,Section d'enseignement professionnel du Lycée polyvalent Jean Lurçat,653777.500036,6858867.20453
80,0754885C,Section d'enseignement professionnel du Lycée polyvalent Fresnel,SECTION ENSEIGNT PROFESSIONNEL,LPO FRESNEL,Public,31 boulevard Pasteur, , ,75015,PARIS,Paris 15e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75115,Paris,Paris, ,0754885C,Section d'enseignement professionnel du Lycée polyvalent Fresnel,649558.900039,6860584.00453
81,0931779D,LPO lycée des métiers de l'horticulture et du paysage,LPO LYCEE DES METIERS,L'HORTICULTURE ET PAYSAGE,Public,16 rue PAUL DOUMER, , ,93512,MONTREUIL CEDEX,Montreuil,Parfaite,Numéro de rue,306,OUVERT,93,24,93048,Seine-Saint-Denis,Créteil,Public,0931779D,LPO lycée des métiers de l'horticulture et du paysage,660111.000031,6862302.70453
