commune_name,postal_code,adresse,latitude,longitude,coordinates,accessibilite_de_l_installation_en_faveur_des_personnes_en_situation_de_handicap,accessibilite_de_l_installation_en_transport_en_commun_des_differents_mode,activites,departement_code,nom_de_l_equipement_sportif,nom_de_l_installation_sportive,types_d_amenagements_de_confort
Paris 7e Arrondissement,75007,33 BOULEVARD DES INVALIDES,48.85259,2.31622,"48.85259, 2.31622",False,,Course sur piste,75,PISTE D'ATHLETISME - PARC,COLLEGE - LYCEE VICTOR DURUY,
Paris 12e Arrondissement,75012,16A BD DE REUILLY,48.838925,2.391345,"48.838925, 2.391345",True,"Métro,Bus","Activités de forme et de santé,Boxe Anglaise,Haltérophilie / Force athlétique",75,PLAYGROUND,RE-CORPS,
Paris 12e Arrondissement,75012,ROUTE DE LA PYRAMIDE,48.83618,2.44049,"48.83618, 2.44049",True,,"Badminton,Jeu de volant,Basket-Ball,Football / Football en salle (Futsal)",75,LA BULLE,STADE LEO LAGRANGE,
Paris 12e Arrondissement,75012,26 BOULEVARD CARNOT,48.842731,2.412655,"48.842731, 2.412655",False,"Métro,Bus",Tennis,75,COURT DE TENNIS N°2,CENTRE SPORTIF CARNOT,
Paris 16e Arrondissement,75016,ROUTE D'AUTEUIL AUX LACS,48.85309,2.25537,"48.85309, 2.25537",True,"Métro,Bus","Course sur le plat,Saut d'obstacle",75,HIPPODROME,LES PELOUSES DE L'HIPPODROME D'AUTEUIL,
Paris 16e Arrondissement,75016,15 AVENUE FELIX D'HERELLE,48.83529,2.2576,"48.83529, 2.2576",False,"Métro,Bus",Activités de forme et de santé,75,SALLE DE DANSE,TENNIS CLUB DE PARIS,Sauna;Solarium
Paris 20e Arrondissement,75020,72 RUE LOUIS LUMIERE,48.862272808,2.41179406639,"48.862272808, 2.41179406639",True,"Métro,Bus,Tramway",Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,75,TERRAIN DE VOLLEY N°1,CENTRE SPORTIF DE LA PORTE DE BAGNOLET,
Paris 20e Arrondissement,75020,34 RUE MARYSE HILSZ,48.8521930576,2.41370648146,"48.8521930576, 2.41370648146",True,"Métro,Bus,Tramway",Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,75,TERRAIN DE VOLLEY BALL N°2,CENTRE SPORTIF MARYSE HILSZ,
Paris 6e Arrondissement,75006,22 Rue Notre-Dame des Champs,48.84501,2.32757,"48.84501, 2.32757",True,"Bus,Métro","Basket-Ball,Course sur piste,Football / Football en salle (Futsal),Handball / Mini hand / Handball de plage",75,PLATEAU EPS,COLLEGE STANISLAS,
Paris 16e Arrondissement,75016,11 chemin de la croix catelan,48.8656,2.25736,"48.8656, 2.25736",True,,Tennis,75,COURT DE TENNIS EN TERRE BATTUE SYNTHETIQUE 1,LAGARDERE PARIS RACING,
Paris 14e Arrondissement,75014,16 AVENUE MARC SANGNIER,48.825839,2.306734,"48.825839, 2.306734",False,"Métro,Bus",Saut,75,AIRE DE SAUT EN LONGUEUR,LYCEE FRANCOIS VILLON,
Paris 11e Arrondissement,75011,9-11 RUE ALPHONSE BAUDIN PARIS,48.86061,2.370258,"48.86061, 2.370258",True,"Métro,Bus","Activités de forme et de santé,Autres Danses,Gymnastique Rythmique,Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...,Kendo / Iaïdo / Naginata / Jodo / Sport chanbara",75,SALLE POLYVALENTE,CENTRE SPORTIF DE LA COUR DES LIONS,
