objectid,nom,commune_code,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,nature_u_1,patronyme,secteur_pu
1704,Ecole primaire DE LA SAIDA _ OLIVIER DE SERRES,75115,PARIS,75015,75,648285.899999999,6859335.9045,20 rue de la Saïda,ECOLE DE NIVEAU ELEMENTAIRE,DE LA SAIDA _ OLIVIER DE SERRES,Public
1705,Ecole maternelle BRUXELLES,75109,PARIS,75009,75,650759.399999999,6864978.1045,34 rue de Bruxelles,ECOLE MATERNELLE,BRUXELLES,Public
1706,Ecole maternelle ROCHECHOUART,75109,PARIS,75009,75,651956.5,6864392.0045,22 rue de Rochechouart,ECOLE MATERNELLE,ROCHECHOUART,Public
1707,Ecole primaire ALEXANDRE DUMAS,75111,PARIS,75011,75,655477.899999999,6861693.9045,39 rue Alexandre Dumas,ECOLE DE NIVEAU ELEMENTAIRE,ALEXANDRE DUMAS,Public
1708,Ecole primaire ARGENTEUIL,75101,PARIS,75001,75,651128.399999999,6862968.6045,11 RUE D'ARGENTEUIL,ECOLE DE NIVEAU ELEMENTAIRE,ARGENTEUIL,Public
1709,Ecole primaire BAUCHES,75116,PARIS,75016,75,646698.0,6862016.9045,15 rue des Bauches,ECOLE DE NIVEAU ELEMENTAIRE,BAUCHES,Public
1710,Ecole primaire BRETONNEAU,75120,PARIS,75020,75,656219.600000001,6863242.3045,9 rue Bretonneau,ECOLE DE NIVEAU ELEMENTAIRE,BRETONNEAU,Public
1711,Ecole primaire BRUXELLES J,75109,PARIS,75009,75,650773.899999999,6864983.4045,32 rue de Bruxelles,ECOLE DE NIVEAU ELEMENTAIRE,BRUXELLES J,Public
1712,Ecole primaire CHERBOURG,75115,PARIS,75015,75,648914.299999997,6859225.0045,15 rue de Cherbourg,ECOLE DE NIVEAU ELEMENTAIRE,CHERBOURG,Public
1713,Ecole primaire FALGUIERE,75115,PARIS,75015,75,649837.200000003,6860556.7045,20 rue Falguière,ECOLE DE NIVEAU ELEMENTAIRE,FALGUIERE,Public
1714,Ecole primaire GENERAL LASALLE,75119,PARIS,75019,75,654613.200000003,6863981.4045,1 rue DU GENERAL LASALLE,ECOLE DE NIVEAU ELEMENTAIRE,GENERAL LASALLE,Public
1715,Ecole primaire JACQUES KELLNER,75117,PARIS,75017,75,650491.899999999,6866504.5045,5 rue Jacques Kellner,ECOLE DE NIVEAU ELEMENTAIRE,JACQUES KELLNER,Public
1716,Ecole primaire A,75113,PARIS,75013,75,653164.100000001,6859691.3045,40 rue Jenner,ECOLE DE NIVEAU ELEMENTAIRE,JENNER EA,Public
1717,Ecole primaire LEMERCIER,75117,PARIS,75017,75,649996.5,6865738.0045,105 RUE LEMERCIER,ECOLE DE NIVEAU ELEMENTAIRE,LEMERCIER,Public
1718,Ecole primaire A,75119,PARIS,75019,75,655302.0,6865055.7045,40 bis rue Manin,ECOLE DE NIVEAU ELEMENTAIRE,MANIN EA,Public
1719,Ecole primaire NEUVE ST PIERRE,75104,PARIS,75004,75,653268.100000001,6861716.7045,15 rue Neuve Saint Pierre,ECOLE DE NIVEAU ELEMENTAIRE,NEUVE ST PIERRE,Public
1720,Ecole primaire OLIVIER DE SERRES Y,75115,PARIS,75015,75,648387.399999999,6859736.4045,27 rue Olivier de Serres,ECOLE DE NIVEAU ELEMENTAIRE,OLIVIER DE SERRES Y,Public
1721,Ecole Elementaire P. BROSSOLETTE,75105,PARIS,75005,75,652118.299999997,6860411.4045,2 rue Pierre Brossolette,ECOLE DE NIVEAU ELEMENTAIRE,PIERRE BROSSOLETTE,Public
1722,Ecole primaire PRISSE D'AVENNES,75114,PARIS,75014,75,650685.799999997,6858548.4045,5 rue prisse d'avennes,ECOLE DE NIVEAU ELEMENTAIRE,PRISSE D'AVENNES,Public
1723,Ecole primaire QUATRE FILS,75103,PARIS,75003,75,653057.399999999,6862453.1045,10 BIS RUE DES QUATRE FILS,ECOLE DE NIVEAU ELEMENTAIRE,QUATRE FILS,Public
