objectid,nom,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,denominati,patronyme
1104,Collège privé Heikhal Menahem Sinai,PARIS,75020,75,654874.899999999,6863008.8045,110 BOULEVARD DE MENILMONTANT,COLLEGE PRIVE,HEIKHAL MENAHEM SINAI
1180,Collège privé Sainte Jeanne-Elisabeth,PARIS,75007,75,649705.399999999,6861033.6045,8 RUE MAURICE DE LA SIZERANNE,COLLEGE PRIVE,SAINTE-JEANNE ELISABETH
1181,Collège privé Rocroy Saint Vincent de Paul,PARIS,75010,75,652277.100000001,6864489.2045,106 RUE DU FAUBOURG POISSONNIERE,COLLEGE PRIVE,ROCROY SAINT VINCENT DE PAUL
1182,Collège privé Saint Sulpice,PARIS,75006,75,650950.600000001,6860822.1045,68 RUE D'ASSAS,COLLEGE PRIVE,SAINT-SULPICE
1183,Collège privé Saint Michel de Picpus,PARIS,75012,75,655708.0,6860421.0045,53 RUE DE LA GARE DE REUILLY,COLLEGE PRIVE,SAINT-MICHEL DE PICPUS
1184,Ecole Active Jeannine Manuel (Collège privé),PARIS,75015,75,647962.100000001,6861090.0045,70 rue DU THEATRE,COLLEGE PRIVE,ECOLE ACTIVE JEANNINE MANUEL
1185,Collège privé L'Assomption,PARIS,75016,75,648231.0,6863214.7045,6 RUE DE LUBECK,COLLEGE PRIVE,L'ASSOMPTION
1186,Collège privé Beth Yacov,PARIS,75020,75,656140.600000001,6862757.7045,50 BIS RUE DES PRAIRIES,COLLEGE PRIVE,BETH YACOV
1187,Collège privé Saint Germain de Charonne,PARIS,75020,75,656327.799999997,6862504.5045,3 RUE DES PRAIRIES,COLLEGE PRIVE,SAINT-GERMAIN DE CHARONNE
1188,Collège privé Bossuet-Notre-Dame,PARIS,75010,75,652569.200000003,6864277.0045,35 RUE DE CHABROL,COLLEGE PRIVE,BOSSUET-NOTRE-DAME
1285,Collège privé N'r Hatorah,PARIS,75019,75,653976.700000003,6864256.8045,3 RUE HENRI TUROT,COLLEGE PRIVE,N'R HATORAH
